age	resid_bt
20	2.336732
21	2.357434
22	2.378111
23	2.398738
24	2.419278
25	2.439605
26	2.459893
27	2.480011
28	2.500118
29	2.520015
30	2.539953
31	2.559707
32	2.579421
33	2.598957
34	2.618486
35	2.637833
36	2.657114
37	2.676289
38	2.695299
39	2.714292
40	2.73315
41	2.751948
42	2.770616
43	2.789135
44	2.807635
45	2.825998
46	2.844237
47	2.862486
48	2.880586
49	2.8986
50	2.916433
51	2.934296
52	2.95201
53	2.969621
54	2.987213
55	3.004572
56	3.021953
57	3.039177
58	3.056247
59	3.07329
60	3.090184
61	3.107141
62	3.123769
63	3.140507
64	3.156953
